type,price,pnl,time
open_sell,1.16614,,2025-09-04 01:30:00
close_sell,1.16448,-0.22000000000010897,2025-09-05 00:30:00
open_buy,1.16448,,2025-09-05 00:30:00
close_buy,1.17047,-0.700000000000145,2025-09-08 01:30:00
open_sell,1.17047,,2025-09-08 01:30:00
close_sell,1.17263,-1.860000000000195,2025-09-08 09:45:00
open_buy,1.17263,,2025-09-08 09:45:00
close_buy,1.17583,0.5999999999999339,2025-09-09 11:30:00
open_sell,1.17583,,2025-09-09 11:30:00
close_sell,1.17107,0.7199999999998319,2025-09-10 08:30:00
open_buy,1.17107,,2025-09-10 08:30:00
close_buy,1.16992,-1.6199999999999546,2025-09-10 13:15:00
open_sell,1.16992,,2025-09-10 13:15:00
close_sell,1.17184,1.4400000000001079,2025-09-10 17:15:00
open_buy,1.17184,,2025-09-10 17:15:00
close_buy,1.16965,-0.6399999999997519,2025-09-10 23:00:00
open_sell,1.16965,,2025-09-10 23:00:00
close_sell,1.17386,-1.0599999999998388,2025-09-11 16:45:00
open_buy,1.17386,,2025-09-11 16:45:00
close_buy,1.17261,-1.260000000000261,2025-09-12 04:00:00
open_sell,1.17261,,2025-09-12 04:00:00
close_sell,1.17226,-1.120000000000232,2025-09-12 12:15:00
open_buy,1.17226,,2025-09-12 12:15:00
close_buy,1.17158,-1.3600000000000279,2025-09-12 12:30:00
open_sell,1.17158,,2025-09-12 12:30:00
close_sell,1.17292,-1.1799999999997368,2025-09-12 13:15:00
open_buy,1.17292,,2025-09-12 13:15:00
close_buy,1.17154,-1.020000000000021,2025-09-12 15:00:00
open_sell,1.17154,,2025-09-12 15:00:00
close_sell,1.17386,-0.6999999999997009,2025-09-12 21:30:00
open_buy,1.17386,,2025-09-12 21:30:00
close_buy,1.17279,0.19999999999997797,2025-09-15 06:00:00
open_sell,1.17279,,2025-09-15 06:00:00
close_sell,1.17353,0.18000000000029104,2025-09-15 10:30:00
open_buy,1.17353,,2025-09-15 10:30:00
close_buy,1.17621,-0.05999999999994898,2025-09-16 03:00:00
open_sell,1.17621,,2025-09-16 03:00:00
close_sell,1.17727,-0.34000000000000696,2025-09-16 05:15:00
open_buy,1.17727,,2025-09-16 05:15:00
close_buy,1.18547,-0.03999999999981796,2025-09-17 06:30:00
open_sell,1.18547,,2025-09-17 06:30:00
close_sell,1.18514,0.5799999999998029,2025-09-17 19:30:00
open_buy,1.18514,,2025-09-17 19:30:00
close_buy,1.1807699999999999,-0.660000000000327,2025-09-17 23:45:00
open_sell,1.1807699999999999,,2025-09-17 23:45:00
close_sell,1.18329,0.900000000000123,2025-09-18 13:00:00
open_buy,1.18329,,2025-09-18 13:00:00
close_buy,1.17758,0.280000000000058,2025-09-18 17:15:00
open_sell,1.17758,,2025-09-18 17:15:00
close_sell,1.17802,-0.48000000000003595,2025-09-19 03:30:00
open_buy,1.17802,,2025-09-19 03:30:00
close_buy,1.17748,0.34000000000000696,2025-09-19 05:15:00
open_sell,1.17748,,2025-09-19 05:15:00
close_sell,1.17614,-2.6999999999999247,2025-09-22 11:00:00
open_buy,1.17614,,2025-09-22 11:00:00
close_buy,1.1789,-1.020000000000021,2025-09-23 10:00:00
open_sell,1.1789,,2025-09-23 10:00:00
close_sell,1.1807,-0.5399999999999849,2025-09-23 20:00:00
open_buy,1.1807,,2025-09-23 20:00:00
close_buy,1.17961,-0.6200000000000649,2025-09-24 05:45:00
open_sell,1.17961,,2025-09-24 05:45:00
close_sell,1.17423,-0.16000000000016001,2025-09-25 03:15:00
open_buy,1.17423,,2025-09-25 03:15:00
close_buy,1.17415,-1.2199999999999989,2025-09-25 12:15:00
open_sell,1.17415,,2025-09-25 12:15:00
close_sell,1.16753,-0.9600000000000719,2025-09-26 05:15:00
open_buy,1.16753,,2025-09-26 05:15:00
close_buy,1.1674,1.3800000000001589,2025-09-26 15:00:00
open_sell,1.1674,,2025-09-26 15:00:00
close_sell,1.16906,2.2999999999999687,2025-09-26 17:45:00
open_buy,1.16906,,2025-09-26 17:45:00
close_buy,1.17092,-0.7600000000000939,2025-09-29 14:15:00
open_sell,1.17092,,2025-09-29 14:15:00
close_sell,1.17488,-1.3399999999998968,2025-09-29 16:30:00
open_buy,1.17488,,2025-09-29 16:30:00
close_buy,1.17221,-0.19999999999997797,2025-09-29 23:30:00
open_sell,1.17221,,2025-09-29 23:30:00
close_sell,1.17422,-0.860000000000305,2025-09-30 09:30:00
open_buy,1.17422,,2025-09-30 09:30:00
close_buy,1.17283,0.5399999999999849,2025-09-30 18:30:00
open_sell,1.17283,,2025-09-30 18:30:00
close_sell,1.17407,1.1600000000000499,2025-09-30 21:15:00
open_buy,1.17407,,2025-09-30 21:15:00
close_buy,1.1739,0.280000000000058,2025-09-30 22:45:00
open_sell,1.1739,,2025-09-30 22:45:00
close_sell,1.1734,0.99999999999989,2025-09-30 23:00:00
open_buy,1.1734,,2025-09-30 23:00:00
close_buy,1.1731,-0.08000000000008001,2025-10-01 00:45:00
open_sell,1.1731,,2025-10-01 00:45:00
close_sell,1.17583,-0.140000000000029,2025-10-01 08:00:00
open_buy,1.17583,,2025-10-01 08:00:00
close_buy,1.17338,-0.6800000000000139,2025-10-01 14:45:00
open_sell,1.17338,,2025-10-01 14:45:00
close_sell,1.17413,-0.6199999999996209,2025-10-02 05:00:00
open_buy,1.17413,,2025-10-02 05:00:00
close_buy,1.17095,-1.020000000000021,2025-10-02 17:30:00
open_sell,1.17095,,2025-10-02 17:30:00
close_sell,1.17197,0.6599999999998829,2025-10-03 03:30:00
open_buy,1.17197,,2025-10-03 03:30:00
close_buy,1.17167,-0.42000000000008697,2025-10-06 00:15:00
open_sell,1.17167,,2025-10-06 00:15:00
